D 189 ,Estimate,Std..Error,t.value,Pr...t..,
D 189 (Intercept),-31.34131567,37.38373205,-0.838367759,0.404637816,1
D 189 stocks,0.209081006,0.103254139,2.024916466,0.046637513,1
D 189 housing,-0.568008509,0.19999068,-2.8401749,0.005878357,1
D 189 credit,0.751355981,0.264607087,2.839515716,0.005889255,1
D 189 dowjones,0.627572442,0.191467239,3.277701426,0.001621804,1
D 189 unemployment,-0.242019637,0.100150716,-2.416554225,0.018240926,1
D 189 stockmarket,-0.507722142,0.233356162,-2.17573917,0.032904787,1
D 189 bonds,0.251258136,0.10051032,2.499824255,0.014738004,1
D 189 invest,0.402558873,0.189696071,2.122125521,0.037317167,1
D 189 profit,-0.390096113,0.162626851,-2.398718973,0.019081703,1
D 189 success,-0.478561019,0.167401023,-2.858769982,0.005578481,1
D 189 default,-0.406413356,0.147891971,-2.748042051,0.007594971,1
D 189 lifestyle,-0.165764371,0.077880611,-2.128442113,0.036771885,1
D 189 consume,0.396217163,0.14470291,2.738142328,0.007804453,1
D 189 transaction,0.373432063,0.152564503,2.447699537,0.016851823,1
