ES 14 ,Estimate,Std..Error,t.value,Pr...t..,
ES 14 (Intercept),16.02124601,10.05176559,1.593873818,0.115406672,1
ES 14 dowjones,-0.116282988,0.051481853,-2.258717995,0.026974085,1
ES 14 marriage,-0.046833181,0.023030567,-2.033522677,0.045738432,1
ES 14 society,-0.153429603,0.072740045,-2.109286604,0.038447187,1
ES 14 bonds,-0.098356101,0.027025289,-3.639409733,0.000514945,1
ES 14 profit,0.094262215,0.043727228,2.155686943,0.034498639,1
ES 14 travel,0.197868133,0.085705296,2.308703674,0.0238752,1
ES 14 gains,0.07218042,0.028549235,2.528278558,0.013687664,1
ES 14 nyse,-0.118092702,0.049061449,-2.407036582,0.018685387,1
ES 14 culture,0.182698905,0.069384894,2.63312222,0.010375363,1
ES 14 financialmarkets,0.065487925,0.02931008,2.234314059,0.028611996,1
ES 14 opportunity,0.099742415,0.044511086,2.240844346,0.028165347,1
ES 14 consumption,0.117820873,0.031551925,3.734189688,0.00037691,1
ES 14 shortselling,-0.090921265,0.035096504,-2.590607429,0.011619202,1
ES 14 consume,-0.09419238,0.038907826,-2.420910921,0.018040647,1
