G 115 ,Estimate,Std..Error,t.value,Pr...t..,
G 115 (Intercept),2161.674683,NA,NA,NA,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
G 115 ,,,,,1
