S 403 ,Estimate,Std..Error,t.value,Pr...t..,
S 403 (Intercept),95.16756741,30.44937612,3.125435707,0.002571876,1
S 403 stocks,0.182392217,0.084101397,2.168718033,0.033455384,1
S 403 economics,-0.791521567,0.196420248,-4.029735104,0.000138463,1
S 403 dowjones,-0.472863202,0.155951738,-3.032112428,0.003388919,1
S 403 money,0.565668292,0.19183544,2.948716323,0.004317176,1
S 403 stockmarket,0.597980943,0.190070631,3.146098581,0.002417792,1
S 403 risk,0.467545618,0.163451794,2.860449589,0.005552101,1
S 403 water,-0.439977711,0.220606228,-1.994402949,0.049948629,1
S 403 holiday,0.354741525,0.142497518,2.489457569,0.015138348,1
S 403 success,-0.343594123,0.136349595,-2.519949724,0.013987894,1
S 403 default,-0.451209102,0.120459302,-3.745738978,0.000362735,1
S 403 food,-0.343158264,0.142516609,-2.407847514,0.018647144,1
S 403 nyse,-0.374282815,0.148619712,-2.51839281,0.014044671,1
S 403 culture,0.63223272,0.210184639,3.007987275,0.003636342,1
S 403 present,-0.477603965,0.178991881,-2.668299604,0.009439048,1
S 403 buy,-0.429592058,0.14466122,-2.96964217,0.004064351,1
S 403 fond,0.235270686,0.112938032,2.083183866,0.040836485,1
S 403 crash,-0.113050663,0.055270427,-2.045409609,0.044521167,1
S 403 home,0.639963711,0.223088957,2.868648088,0.005424975,1
