T 296 ,Estimate,Std..Error,t.value,Pr...t..,
T 296 (Intercept),6.494122388,20.72376542,0.313365948,0.754921392,1
T 296 revenue,-0.146388251,0.058269226,-2.512273803,0.014269832,1
T 296 cancer,-0.184682275,0.079629614,-2.319266236,0.023262234,1
T 296 bonds,0.13760021,0.055718147,2.46957618,0.015933594,1
T 296 invest,0.225428958,0.105158492,2.143706651,0.035482695,1
T 296 happy,0.18748046,0.080683809,2.323644147,0.023012293,1
T 296 car,0.311262956,0.155550971,2.001035119,0.049212312,1
T 296 success,-0.242252317,0.092799176,-2.610500728,0.011021272,1
T 296 war,-0.153007222,0.070859613,-2.159300844,0.034206507,1
T 296 food,0.197681833,0.09699643,2.038032047,0.045273326,1
T 296 culture,0.350780545,0.143051113,2.452134323,0.016661936,1
