ZO 47 ,Estimate,Std..Error,t.value,Pr...t..,
ZO 47 (Intercept),-250.6865402,290.6707053,-0.86244171,0.391348242,1
ZO 47 inflation,2.033782647,1.001799821,2.030128779,0.046091192,1
ZO 47 cancer,3.274447256,1.11688178,2.931776051,0.004532429,1
ZO 47 bonds,-1.649179615,0.781500509,-2.110273245,0.038359306,1
ZO 47 invest,-4.570358918,1.474948799,-3.098655981,0.00278523,1
ZO 47 sell,-5.821586248,2.39158086,-2.434200049,0.017441833,1
ZO 47 banking,-2.396960064,0.931200501,-2.574053666,0.012138994,1
ZO 47 fed,-2.52456052,1.057540466,-2.387199924,0.01964295,1
ZO 47 water,4.503569636,2.105914011,2.138534438,0.035915042,1
ZO 47 gain,-2.301804031,1.123634781,-2.048533981,0.04420589,1
ZO 47 default,-2.367798525,1.149908295,-2.05911944,0.043151987,1
ZO 47 earnings,-1.14428783,0.485063168,-2.3590491,0.021076965,1
ZO 47 food,-3.772738248,1.36046805,-2.77311786,0.007087184,1
ZO 47 present,4.001039986,1.708662144,2.341621485,0.022010736,1
ZO 47 fond,3.872822705,1.078110014,3.592233309,0.000600441,1
ZO 47 train,2.6167857,1.189343788,2.200192851,0.031048507,1
