B 423 ,Estimate,Std..Error,t.value,Pr...t..,
B 423 ,(Intercept),6.073994558,17.4153417,0.348772632,0.728292176,1
B 423 ,restaurant,-0.292157255,0.117702393,-2.482169204,0.015425639,1
B 423 ,inflation,-0.146275507,0.060022169,-2.437024675,0.017316871,1
B 423 ,cancer,-0.220592892,0.066917228,-3.296503739,0.001530627,1
B 423 ,happy,0.173045071,0.067803127,2.552169474,0.012858443,1
B 423 ,sell,0.306574828,0.143289974,2.139541369,0.035830514,1
B 423 ,car,0.276078946,0.1307182,2.112016125,0.038204492,1
B 423 ,rich,-0.102917977,0.049810034,-2.06620976,0.042458252,1
B 423 ,water,-0.325343623,0.126174435,-2.578522518,0.011996636,1
B 423 ,chance,0.099067477,0.036119475,2.74277179,0.007705843,1
B 423 ,oil,0.156607166,0.041275225,3.794217138,0.000308596,1
B 423 ,gain,0.156086366,0.067321829,2.318510464,0.023305625,1
B 423 ,default,-0.200918403,0.06889599,-2.916256871,0.004738295,1
B 423 ,food,0.175497474,0.081511537,2.153038463,0.03471411,1
B 423 ,culture,0.35622434,0.120213869,2.963254935,0.004140028,1
B 423 ,lifestyle,0.119850252,0.036280954,3.303393104,0.001498442,1
B 423 ,transaction,0.164488297,0.071072705,2.314366638,0.023544811,1
B 423 ,environment,-0.254077748,0.113988038,-2.22898605,0.028981016,1
