E 147 ,Estimate,Std..Error,t.value,Pr...t..,
E 147 ,(Intercept),71.68435565,45.61720148,1.571432559,0.150530959,1
E 147 ,markets,-0.582304633,0.209343534,-2.78157449,0.021345762,1
E 147 ,marriage,0.295617599,0.105771069,2.794881446,0.020886575,1
E 147 ,success,0.643566269,0.209455091,3.072574018,0.013298563,1
E 147 ,default,0.436654072,0.136302224,3.203572619,0.010769389,1
E 147 ,shortsell,0.226001086,0.093192779,2.425092257,0.03828952,1
E 147 ,nyse,0.712658231,0.237949889,2.994992918,0.015078305,1
E 147 ,health,0.451190805,0.189104853,2.38592928,0.040828937,1
E 147 ,consumption,0.234424875,0.096861592,2.420204648,0.038597675,1
