HS 81 ,Estimate,Std..Error,t.value,Pr...t..,
HS 81 ,(Intercept),18.83921816,23.97161764,0.785896824,0.43454294,1
HS 81 ,dowjones,0.271791861,0.122774779,2.213743439,0.030059926,1
HS 81 ,return,-0.236848204,0.104171203,-2.273643735,0.026013563,1
HS 81 ,cancer,-0.222451581,0.092109258,-2.415083845,0.018308968,1
HS 81 ,cash,0.134944348,0.055489874,2.431873378,0.017545371,1
HS 81 ,happy,0.213241283,0.093328668,2.284842251,0.025312853,1
HS 81 ,metals,-0.218312582,0.104073691,-2.097673106,0.039494817,1
HS 81 ,crisis,-0.178198084,0.082913181,-2.149212959,0.035027412,1
HS 81 ,success,0.275187463,0.107342769,2.563632981,0.012476907,1
HS 81 ,economy,-0.364970342,0.134524231,-2.713045372,0.008359415,1
HS 81 ,shortsell,-0.169608288,0.072558894,-2.33752581,0.022235446,1
HS 81 ,gains,0.29876292,0.068084691,4.388107145,3.90E-05,1
HS 81 ,culture,0.415557305,0.165470247,2.511371749,0.014303299,1
HS 81 ,bubble,0.256739725,0.079463771,3.230902862,0.001871392,1
HS 81 ,energy,0.548737149,0.132428733,4.14364115,9.31E-05,1
HS 81 ,trader,0.234051167,0.090483298,2.586678104,0.011740725,1
HS 81 ,forex,-0.146581858,0.072052953,-2.034362933,0.045651456,1
