LG 76 ,Estimate,Std..Error,t.value,Pr...t..,
LG 76 ,(Intercept),65.95052882,52.0264256,1.267635208,0.209069884,1
LG 76 ,unemployment,-0.457507692,0.139378374,-3.282486932,0.001598126,1
LG 76 ,loss,-0.593122183,0.242508557,-2.445778374,0.016934683,1
LG 76 ,sell,-0.924337136,0.428063102,-2.159347844,0.034202722,1
LG 76 ,risk,0.599610964,0.279277072,2.147011064,0.035208859,1
LG 76 ,chance,0.2846746,0.107902975,2.638246063,0.010233925,1
LG 76 ,oil,0.306162666,0.123305213,2.482966118,0.015393989,1
LG 76 ,movie,0.578257629,0.23960717,2.413356945,0.018389169,1
LG 76 ,arts,-0.906353934,0.427257212,-2.12133092,0.037386256,1
LG 76 ,kitchen,-0.848122201,0.359826797,-2.357029014,0.021183365,1
LG 76 ,fun,-0.510782335,0.24210823,-2.109727267,0.038407915,1
