P 312 ,Estimate,Std..Error,t.value,Pr...t..,
P 312 ,(Intercept),78.15356677,NA,NA,NA,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
P 312 ,,,,,,1
